Gene	LogFC	V4	m210_1
C17orf58	0.949109538	ensembl_havana	protein_coding
WNT5A	0.947584215	ensembl_havana	protein_coding
PPIP5K1	0.94741265	ensembl_havana	protein_coding
HDAC8	0.946582541	ensembl_havana	protein_coding
TMEM50B	0.944428568	ensembl_havana	protein_coding
GDAP2	0.943686123	ensembl_havana	protein_coding
UPF2	0.942837535	ensembl_havana	protein_coding
C18orf25	0.939361329	ensembl_havana	protein_coding
APTX	0.939019494	ensembl_havana	protein_coding
NRP1	0.935479758	ensembl_havana	protein_coding
MTIF2	0.935269528	ensembl_havana	protein_coding
BLZF1	0.934729282	ensembl_havana	protein_coding
PPP1R3C	0.933716922	ensembl_havana	protein_coding
WRN	0.932253938	ensembl_havana	protein_coding
CTH	0.929425867	ensembl_havana	protein_coding
RIMKLB	0.929081054	ensembl_havana	protein_coding
EIF5A2	0.92570203	ensembl_havana	protein_coding
ZNF317	0.923866421	ensembl_havana	protein_coding
NDC1	0.923570812	ensembl_havana	protein_coding
SUOX	0.921730709	ensembl_havana	protein_coding
KLF7	0.920715948	ensembl_havana	protein_coding
MYSM1	0.920628721	ensembl_havana	protein_coding
FANCI	0.918714538	ensembl_havana	protein_coding
ZNF823	0.918490365	ensembl_havana	protein_coding
PUM2	0.917482046	ensembl_havana	protein_coding
ZNF772	0.913800125	ensembl_havana	protein_coding
OTUB2	0.912475884	ensembl_havana	protein_coding
PTPN3	0.9091005	ensembl_havana	protein_coding
CBX5	0.908030386	ensembl_havana	protein_coding
SPICE1	0.906783589	ensembl_havana	protein_coding
SUCLG1	0.906361052	ensembl_havana	protein_coding
FRMD5	0.90335719	ensembl_havana	protein_coding
ATP7B	0.903321503	ensembl_havana	protein_coding
PPT1	0.902583915	ensembl_havana	protein_coding
ETNK1	0.900058279	ensembl_havana	protein_coding
FASTKD2	0.898415019	ensembl_havana	protein_coding
ANLN	0.896528318	ensembl_havana	protein_coding
MAPK13	0.89455404	ensembl_havana	protein_coding
