	1.lane.clean.uniq.gz	2.lane.clean.uniq.gz	3.lane.clean.uniq.gz	4.lane.clean.uniq.gz	5.lane.clean.uniq.gz	6.lane.clean.uniq.gz	7.lane.clean.uniq.gz	8.lane.clean.uniq.gz	9.lane.clean.uniq.gz	10.lane.clean.uniq.gz	11.lane.clean.uniq.gz	12.lane.clean.uniq.gz
hsa-miR-30b-5p	399	491	377	1448	1163	1061	1440	489	338	215	225	147
hsa-miR-381	1419	1193	1080	170	86	118	133	1187	154	98	104	95
hsa-miR-23a-3p	347	400	283	1381	914	984	1207	417	349	220	185	161
hsa-miR-1273g-3p	1376	1023	838	228	325	402	661	995	678	174	392	402
hsa-miR-486-5p	288	274	258	1237	973	976	1334	255	94	50	55	44
hsa-miR-370	1332	975	1050	32	16	26	40	1151	36	26	32	15
hsa-let-7e-5p	1277	1294	1169	618	459	505	633	1299	171	103	100	86
hsa-miR-9-3p	1283	1064	838	8	1	7	7	1297	4	9	0	6
hsa-miR-126-5p	707	662	544	1292	604	875	1099	699	562	328	252	310
hsa-miR-92b-3p	1133	903	933	59	47	42	43	1024	38	14	22	14
hsa-miR-145-5p	382	369	345	896	721	798	1131	451	520	220	224	233
hsa-miR-133b	6	8	10	779	614	657	1107	9	1	3	1	1
hsa-miR-3182	136	127	128	26	41	54	74	116	1107	448	723	397
hsa-miR-769-5p	1103	911	859	46	29	44	59	898	34	18	19	20
hsa-miR-744-5p	1102	885	863	93	58	96	94	1022	74	44	40	39
hsa-miR-152	529	515	433	1014	667	674	1012	461	891	486	495	379
hsa-miR-208b	3	5	2	986	473	715	882	3	1	1	3	3
hsa-miR-328	924	853	758	145	111	143	150	980	50	31	32	20
hsa-let-7d-5p	781	846	718	393	231	326	389	954	356	160	163	149
hsa-miR-374b-5p	627	914	624	481	282	387	447	708	212	173	101	110
hsa-miR-222-3p	904	678	627	598	516	492	635	729	42	33	42	12
hsa-miR-199b-5p	50	66	49	886	500	581	903	66	76	49	34	35
hsa-miR-378c	24	13	18	893	466	656	662	13	92	71	66	47
hsa-miR-145-3p	234	228	217	834	564	699	854	256	212	99	141	100
hsa-miR-20a-5p	391	581	414	232	145	213	239	577	846	565	368	444
hsa-miR-95	758	835	714	314	143	173	208	769	47	44	28	25
hsa-miR-25-3p	575	657	584	414	298	300	341	609	805	507	406	356
hsa-miR-720	139	138	157	231	113	161	177	150	775	532	409	362
hsa-miR-16-5p	506	706	429	370	221	263	308	578	317	196	187	158
hsa-miR-30a-3p	431	435	379	701	552	570	617	332	172	113	98	65
hsa-miR-320a	619	552	532	289	212	227	277	696	701	399	326	280
hsa-miR-136-3p	698	617	515	40	21	36	39	685	84	42	41	29
hsa-miR-433	680	664	579	11	10	7	9	694	4	1	2	2
hsa-miR-98	612	622	558	176	98	147	168	683	166	89	82	66
hsa-miR-330-3p	679	534	498	15	9	10	14	590	7	7	6	3
hsa-miR-3065-5p	621	504	571	12	4	7	8	677	8	8	6	5
hsa-miR-140-5p	512	656	450	279	161	216	280	610	138	76	70	62
hsa-miR-204-5p	650	486	490	21	11	10	21	546	24	10	9	24
hsa-miR-323a-3p	639	579	580	3	1	2	7	610	10	6	6	2
hsa-miR-186-5p	456	474	387	612	405	500	636	479	431	229	240	216
hsa-miR-29b-3p	528	555	426	366	183	283	362	634	63	49	48	42
hsa-miR-185-5p	431	622	438	182	133	153	169	543	201	115	110	90
hsa-miR-1280	126	111	99	145	64	88	124	127	610	377	299	312
hsa-miR-200b-3p	34	31	14	7	4	6	3	39	586	285	312	278
hsa-miR-149-5p	566	506	468	34	35	41	47	573	8	12	4	2
