	mt1.lane.clean.uniquified.fa.gz	mt2.lane.clean.uniquified.fa.gz	mt3.lane.clean.uniquified.fa.gz	wt1.lane.clean.uniquified.fa.gz	wt2.lane.clean.uniquified.fa.gz	wt3.lane.clean.uniquified.fa.gz
mmu-mir-1198-5p	13540	8112	5418	29180	9807	13290
mmu-let-7c-2-3p	14837	4276	5601	29044	12390	5527
mmu-mir-192-5p	27673	13036	11603	27985	28855	15618
mmu-mir-374b-5p	12487	7056	4628	28013	23732	6235
mmu-mir-503-5p	8184	4446	2913	10310	26492	2947
mmu-mir-1983-3p	8468	8741	3511	26437	13406	6471
mmu-mir-450a-2-5p	4859	3614	2030	9024	25764	3224
mmu-mir-185-5p	17511	10165	7156	25351	16064	9864
mmu-mir-16-1-3p	24336	14390	8999	25091	24746	19984
mmu-mir-501-3p	6640	4649	2600	24999	7199	5035
mmu-mir-423-5p	9183	7636	4838	24707	13051	12060
mmu-mir-450b-5p	2560	2244	1179	4466	23319	2797
mmu-mir-127-3p	22942	7412	18805	5892	7572	5263
mmu-mir-672-5p	9794	5836	3431	22938	10325	7635
mmu-mir-125b-2-3p	22632	12578	8518	19111	14790	9813
mmu-mir-23b-3p	8168	4272	2508	21547	12140	7183
mmu-mir-345-3p	8942	5282	3104	21100	12235	7217
mmu-mir-19b-2-3p	10720	7012	2618	10404	20773	2839
mmu-mir-322-5p	9215	6131	2826	7371	19848	3036
mmu-mir-3096b-5p	19358	8993	2914	9170	18775	8283
mmu-mir-106b-5p	10463	10915	3668	15374	18900	5109
mmu-mir-467d-3p	324	224	117	626	18759	156
mmu-mir-32-5p	9584	6869	3957	18672	9027	6587
mmu-mir-6240-3p	18453	8789	3555	11553	10559	12741
mmu-mir-196b-5p	15949	144	18435	3107	955	1899
mmu-mir-30c-2-3p	17631	9217	6608	18389	14529	12071
mmu-mir-5121-3p	17859	8273	3344	6415	10642	7560
mmu-mir-1981-5p	6954	3361	1480	17782	13205	10811
mmu-mir-3081-3p	14925	8755	6074	15769	17293	10295
mmu-mir-132-3p	15783	16467	9146	9638	10152	11472
mmu-mir-34a-5p	9056	5415	3039	15924	14320	5293
mmu-mir-30b-5p	12150	13832	4490	14060	15892	5420
mmu-mir-425-5p	7220	5552	2409	13080	15852	7816
mmu-mir-598-3p	14995	6047	4789	15755	13040	9967
mmu-mir-379-5p	15653	4449	8285	2930	4063	3047
mmu-mir-130b-5p	2788	1230	1206	15501	4480	2244
mmu-mir-96-5p	172	16	15	8	15489	236
mmu-mir-128-2-3p	3624	2243	1354	15204	3707	4256
mmu-mir-218-2-5p	14868	6157	3684	7642	6296	5472
mmu-mir-344b-3p	7122	3574	2304	14267	7576	4215
mmu-mir-212-5p	14217	6952	6871	8594	5195	8006
mmu-mir-1843b-5p	12590	5794	3885	14214	9382	8524
mmu-mir-615-3p	6378	6763	13809	2812	261	97
mmu-mir-652-3p	13786	8464	3722	12475	9482	5962
mmu-mir-181b-1-3p	10038	4660	3060	13715	12831	7257
mmu-mir-139-5p	5943	7553	2289	13498	8856	7620
mmu-mir-6239-3p	13007	8203	3544	13316	9454	7983
mmu-mir-325-5p	8343	4881	2788	12925	5347	4110
mmu-mir-292-5p	2514	156	89	29	12462	21
mmu-mir-22-3p	5659	4558	1854	12271	4901	3514
mmu-mir-15b-5p	5911	3046	2496	12103	7673	3242
mmu-mir-669a-5-3p	239	218	100	576	11678	136
mmu-mir-293-5p	2136	80	58	20	11485	10
mmu-mir-27a-3p	6836	4599	2616	11449	5561	3706
mmu-mir-676-3p	4284	2668	1800	11443	4704	2856
mmu-mir-3962-3p	5629	2880	2528	10983	7376	4417
mmu-mir-669o-5p	402	188	134	809	10798	269
mmu-mir-340-3p	5762	2753	2160	10654	4389	5043
mmu-mir-378c-5p	10129	6627	4473	8426	10611	4457
mmu-mir-467c-5p	393	279	120	1617	10410	392
mmu-let-7j-5p	9566	4136	4424	10378	10008	7026
mmu-mir-181c-3p	9513	3985	3042	9504	10257	4828
mmu-mir-29a-3p	10017	9343	4148	7821	5400	4293
mmu-mir-28a-3p	8637	4976	2422	9985	7741	6191
mmu-mir-107-3p	4427	2359	1619	9956	6333	2201
mmu-let-7c-1-3p	9940	3222	3213	8310	5316	3231
mmu-mir-1843a-5p	8608	4601	3053	9804	7042	5954
mmu-mir-674-5p	4059	2622	1390	9429	5367	2483
mmu-mir-10a-3p	6013	3775	6195	9413	2173	412
mmu-mir-148a-5p	3931	2226	1383	8854	9225	3599
mmu-mir-466b-8-3p	318	257	111	820	9032	200
mmu-mir-221-3p	6215	2190	3943	9026	3956	772
mmu-mir-541-5p	8811	2400	6606	2337	2345	1696
mmu-mir-6243-5p	8569	4349	1795	6276	5883	6268
mmu-mir-92b-5p	7448	6440	2940	8481	4253	5698
mmu-mir-342-3p	6063	8186	2245	7196	6494	4765
mmu-mir-669l-5p	325	187	103	831	8186	238
mmu-mir-23a-3p	4473	2710	1616	8158	4941	2608
mmu-mir-219-1-3p	5731	3143	2143	8127	2843	4047
mmu-mir-344f-3p	3346	1611	544	8067	4873	4105
mmu-mir-19b-1-3p	1093	473	345	7904	5184	556
mmu-mir-381-3p	7626	2379	5523	2512	3674	1961
mmu-mir-503-3p	3928	2109	1934	5050	7447	2799
mmu-mir-362-5p	4314	2063	1345	7325	5181	1631
mmu-mir-361-5p	4441	2533	1296	7272	4855	2071
mmu-mir-3068-3p	5963	2086	1279	5674	7101	3098
mmu-mir-669m-2-5p	374	178	106	797	6852	210
mmu-mir-30b-3p	3874	2090	1363	6752	4111	2335
mmu-let-7f-1-5p	3038	1971	892	6750	3217	2218
mmu-mir-15b-3p	2695	1771	893	6675	4238	2392
mmu-mir-149-5p	5531	6571	2580	6143	5991	4209
mmu-mir-760-3p	2138	1171	645	6481	1779	2518
mmu-mir-5105-3p	5870	3026	1213	6149	4203	3352
mmu-mir-126-3p	3160	2386	1272	4784	6052	2158
mmu-mir-155-5p	4597	3846	1986	5921	4135	2613
mmu-mir-1957a-5p	4893	2370	1577	5759	5579	4168
mmu-mir-19a-3p	3233	2218	1065	5707	5109	1357
mmu-mir-350-3p	3214	5639	1100	3714	3349	2767
mmu-mir-1935-3p	3162	2333	901	5625	2808	1486
mmu-mir-669e-5p	293	182	100	642	5584	175
mmu-mir-151-5p	3557	4285	784	5570	4082	3011
mmu-mir-219-2-3p	5507	2926	2673	308	202	506
mmu-mir-199b-5p	2764	565	754	4240	5416	430
mmu-mir-3068-5p	2595	1287	787	4360	5404	1557
mmu-mir-669d-5p	181	89	63	376	5332	137
mmu-mir-301a-5p	2277	1047	855	5311	2441	1844
mmu-mir-455-3p	4650	2861	1894	5306	3046	1386
mmu-mir-466d-3p	148	143	64	528	5303	98
mmu-mir-6540-5p	3181	1000	799	5199	2153	718
mmu-mir-222-3p	2341	1351	1616	5086	1908	460
mmu-mir-466c-1-5p	136	84	38	334	5048	129
mmu-mir-671-3p	1614	998	740	4883	1709	2183
mmu-mir-339-5p	3154	1657	1031	4834	3141	1402
mmu-mir-466h-5p	127	129	50	438	4786	140
mmu-mir-194-2-5p	4114	2364	1536	4735	4266	1096
mmu-mir-30d-3p	3033	1509	1071	4706	3548	1455
mmu-mir-212-3p	4629	4475	1673	1433	2347	2387
mmu-mir-187-3p	4623	1848	1823	2102	2400	1745
mmu-mir-34b-3p	2013	1019	791	4589	1848	791
mmu-mir-203-3p	1070	361	285	409	4546	475
mmu-mir-467d-5p	138	96	52	395	4484	116
mmu-mir-677-5p	4416	1655	643	1778	4414	1457
mmu-mir-3093-3p	2682	1504	701	4404	1629	2117
mmu-mir-872-3p	2779	1437	1013	4280	2366	1310
mmu-mir-297a-3-3p	176	434	83	433	4270	132
mmu-mir-130a-3p	2862	2178	1092	4260	2827	1650
mmu-mir-140-5p	3373	2514	1264	4244	2279	1401
mmu-mir-27a-5p	2253	1326	736	4202	2600	2226
mmu-mir-504-5p	1798	942	803	4039	1526	491
mmu-mir-1191-3p	3001	1332	1145	4008	3520	2014
mmu-mir-132-5p	4005	3029	1863	3181	2908	3071
mmu-mir-293-3p	1267	56	35	3	3957	9
mmu-mir-434-5p	3946	1280	3316	1191	993	943
mmu-mir-135a-2-5p	3934	2518	1138	317	290	500
mmu-mir-1981-3p	1268	719	440	3869	1774	1400
mmu-mir-344c-3p	2254	1515	703	3865	2115	1498
mmu-mir-384-3p	3585	2878	1187	3860	2316	1467
