	mt1.lane.clean.uniquified.fa.gz	mt2.lane.clean.uniquified.fa.gz	mt3.lane.clean.uniquified.fa.gz	wt1.lane.clean.uniquified.fa.gz	wt2.lane.clean.uniquified.fa.gz	wt3.lane.clean.uniquified.fa.gz
mmu-mir-669a-3-3p	12	5	2	12	305	1
mmu-mir-3074-1-3p	128	70	53	304	161	87
mmu-mir-183-3p	5	0	0	1	295	5
mmu-mir-3473d-3p	114	71	29	293	160	100
mmu-mir-709-3p	260	190	51	286	188	91
mmu-mir-301b-3p	107	101	40	281	284	59
mmu-mir-323-3p	278	77	176	73	204	34
mmu-mir-378d-5p	271	226	143	277	266	110
mmu-mir-3067-5p	275	135	47	99	56	103
mmu-mir-298-3p	144	71	57	273	189	72
mmu-mir-31-5p	272	167	147	146	160	153
mmu-mir-6413-3p	95	116	52	164	270	68
mmu-mir-3473e-5p	180	129	55	190	268	48
mmu-mir-1929-5p	135	69	29	265	244	114
mmu-mir-466l-3p	4	4	2	3	263	5
mmu-mir-3096a-5p	186	100	38	137	263	66
mmu-mir-466n-3p	18	3	5	32	261	7
mmu-mir-696-5p	7	13	2	260	84	41
mmu-mir-15a-3p	163	101	52	260	207	47
mmu-mir-330-3p	219	86	57	135	247	37
mmu-mir-494-3p	245	70	197	124	86	32
mmu-mir-500-3p	172	174	40	242	238	87
mmu-mir-106a-5p	133	52	40	128	241	21
mmu-mir-1943-5p	146	128	62	239	139	124
mmu-mir-669d-3p	6	12	2	8	237	5
mmu-mir-26b-3p	125	59	46	235	105	63
mmu-mir-181a-1-5p	114	54	40	234	137	110
mmu-mir-210-5p	83	139	31	181	234	172
mmu-mir-3069-3p	153	47	49	231	190	75
mmu-mir-219-2-5p	230	107	64	40	24	29
mmu-mir-467c-3p	3	0	0	10	229	1
mmu-mir-652-5p	134	101	51	161	220	109
mmu-mir-291a-5p	69	2	0	0	220	1
mmu-mir-499-5p	28	14	8	59	218	31
mmu-mir-365-2-5p	69	43	23	214	136	49
mmu-mir-1946a-5p	42	28	18	213	53	44
mmu-let-7g-3p	68	162	28	106	213	68
mmu-mir-452-5p	93	45	23	128	211	17
mmu-mir-23b-5p	70	23	26	209	72	45
mmu-mir-200a-5p	28	0	0	7	206	14
mmu-mir-1196-5p	121	58	40	164	206	132
mmu-mir-3085-3p	199	30	66	154	79	13
mmu-mir-194-2-3p	172	90	78	197	162	94
mmu-mir-495-3p	146	197	132	41	59	42
mmu-mir-3061-3p	86	57	40	197	59	48
mmu-mir-155-3p	63	43	44	197	77	49
mmu-mir-5129-3p	129	58	64	196	132	71
mmu-mir-433-3p	160	73	196	122	74	37
mmu-mir-3102-5p	35	26	24	194	73	29
mmu-mir-1251-5p	194	44	69	10	36	44
mmu-mir-380-5p	194	46	115	47	70	29
mmu-mir-411-3p	191	73	144	62	46	27
mmu-mir-3089-3p	112	51	42	190	147	65
mmu-mir-145a-3p	190	52	53	157	95	80
mmu-mir-1953-5p	36	40	9	189	41	24
mmu-mir-6540-3p	188	94	34	181	139	41
mmu-mir-694-3p	45	28	20	187	119	89
mmu-mir-122-5p	186	128	48	175	73	108
mmu-mir-672-3p	143	22	47	181	79	47
mmu-mir-741-3p	13	13	3	25	180	20
mmu-mir-129-1-3p	179	134	64	133	105	60
mmu-mir-9-1-5p	179	72	38	169	95	148
mmu-mir-147-3p	110	65	33	177	157	88
mmu-mir-1946b-3p	43	19	8	176	56	37
mmu-mir-369-3p	175	39	124	51	76	23
mmu-mir-714-3p	36	37	19	167	64	89
mmu-mir-3084-2-5p	116	54	19	167	96	73
mmu-mir-490-3p	44	10	5	167	76	14
mmu-mir-5122-5p	38	22	14	166	49	16
mmu-mir-5113-5p	40	61	30	165	66	102
mmu-mir-215-5p	164	54	53	140	155	86
mmu-mir-182-3p	8	0	0	0	164	4
mmu-mir-466j-3p	20	9	5	42	164	15
mmu-mir-465b-1-5p	43	30	9	60	163	44
mmu-mir-188-3p	48	56	34	162	80	45
mmu-mir-1934-5p	53	38	33	159	40	47
mmu-mir-466p-5p	6	5	1	22	159	6
mmu-mir-143-5p	159	54	46	111	79	52
mmu-mir-338-3p	93	79	11	158	115	66
mmu-mir-3061-5p	78	43	24	158	103	51
mmu-mir-669h-3p	3	4	1	2	156	0
mmu-mir-879-5p	93	38	29	154	139	58
mmu-mir-547-3p	153	57	23	91	54	48
mmu-mir-497-3p	56	34	7	93	150	31
mmu-mir-6538-5p	146	68	18	121	41	56
mmu-mir-3062-5p	97	41	26	142	146	49
mmu-mir-3473b-5p	17	57	33	146	80	66
mmu-mir-1946a-3p	60	33	21	144	83	40
mmu-mir-3091-3p	36	17	12	142	56	28
mmu-mir-679-5p	141	54	68	38	60	17
mmu-mir-410-3p	140	70	76	41	58	15
mmu-mir-222-5p	87	38	62	140	64	16
mmu-mir-146b-3p	91	34	25	138	84	51
mmu-mir-1298-5p	32	32	5	137	85	112
mmu-mir-466f-3-3p	4	0	0	8	137	1
mmu-mir-181d-3p	30	22	15	137	43	30
mmu-mir-500-5p	47	37	19	135	100	27
mmu-mir-3572-5p	48	35	26	134	73	60
mmu-mir-1969-5p	77	54	21	134	31	31
mmu-mir-653-5p	134	42	27	74	89	57
mmu-mir-218-1-5p	132	58	27	39	43	39
mmu-mir-290-5p	28	0	0	0	132	0
mmu-mir-379-3p	131	42	71	29	35	15
mmu-mir-5115-3p	130	75	29	112	57	103
mmu-mir-7a-2-3p	130	31	31	94	44	47
mmu-mir-714-5p	43	21	11	129	42	49
mmu-mir-296-5p	54	23	31	128	47	33
mmu-mir-128-2-5p	21	5	4	128	17	44
mmu-mir-5621-3p	91	20	24	127	55	27
mmu-mir-138-1-5p	126	103	45	39	71	23
mmu-mir-34a-3p	54	41	15	126	79	31
mmu-let-7a-2-3p	126	84	25	89	98	118
mmu-mir-29b-2-5p	73	38	28	125	85	33
mmu-mir-3965-3p	124	67	15	52	120	93
mmu-mir-138-2-5p	124	87	36	100	85	33
mmu-mir-3474-5p	59	41	21	123	41	82
mmu-mir-712-3p	45	29	10	122	62	29
mmu-mir-1930-5p	46	30	14	122	50	31
mmu-mir-470-5p	37	23	4	23	120	11
mmu-mir-485-5p	119	34	61	32	36	19
mmu-mir-582-5p	84	44	11	55	115	65
mmu-mir-3473d-5p	92	61	36	115	87	57
mmu-mir-135b-5p	115	58	23	49	20	44
mmu-mir-465c-1-5p	34	28	10	46	115	26
mmu-mir-196b-3p	115	0	108	31	12	13
mmu-mir-3098-3p	53	26	12	115	26	28
mmu-mir-302a-5p	30	1	0	1	114	0
mmu-mir-100-3p	113	64	35	66	68	65
mmu-mir-5620-5p	69	21	24	112	48	45
mmu-mir-3110-5p	73	25	18	111	101	28
mmu-mir-467h-3p	6	5	5	12	110	10
mmu-mir-19b-1-5p	21	51	15	110	60	23
mmu-mir-124-3-3p	94	40	35	109	67	28
mmu-mir-540-3p	109	34	100	27	43	22
mmu-mir-297c-5p	9	2	1	17	107	0
mmu-mir-5106-3p	51	37	21	59	68	106
mmu-mir-1960-5p	51	31	21	106	85	66
mmu-mir-3066-3p	38	14	15	106	47	23
mmu-mir-466m-5p	3	5	1	9	106	2
mmu-mir-1949-3p	101	46	27	106	65	81
mmu-mir-491-5p	59	104	22	84	64	45
mmu-mir-302b-3p	18	0	1	0	104	0
mmu-mir-431-3p	101	44	63	20	29	18
mmu-mir-429-3p	18	1	2	14	101	1
mmu-mir-466f-1-3p	1	10	1	10	101	3
mmu-mir-3086-5p	71	46	12	86	100	75
mmu-mir-466g-5p	7	10	2	21	100	5
mmu-mir-1970-5p	84	48	24	99	79	45
mmu-mir-5132-5p	29	27	6	99	27	28
mmu-mir-466q-5p	25	21	11	98	48	26
mmu-mir-3083-5p	83	47	21	97	69	29
mmu-mir-871-3p	36	9	4	57	97	42
mmu-mir-3473c-5p	12	19	20	96	35	8
mmu-mir-369-5p	95	46	79	34	16	15
mmu-mir-1966-3p	49	18	13	95	62	37
mmu-mir-1955-5p	31	32	14	94	37	20
mmu-mir-193b-5p	31	35	14	94	43	33
mmu-mir-3471-2-3p	49	27	22	89	94	40
mmu-mir-5615-1-5p	86	51	24	94	82	77
mmu-mir-505-5p	30	20	10	93	20	31
mmu-mir-96-3p	9	4	0	0	93	1
mmu-mir-31-3p	37	90	22	6	23	26
mmu-mir-677-3p	90	34	16	62	67	42
mmu-mir-344c-5p	31	22	10	88	36	20
mmu-mir-467g-3p	6	5	4	3	86	1
mmu-mir-878-5p	28	10	11	9	86	15
mmu-mir-1951-3p	86	34	10	31	31	34
mmu-mir-490-5p	18	6	4	84	13	4
mmu-mir-543-3p	84	30	81	81	47	12
mmu-mir-696-3p	13	10	8	83	33	16
mmu-mir-770-3p	83	25	59	21	14	15
mmu-mir-1982-3p	49	19	21	82	64	22
mmu-mir-344f-5p	39	21	4	81	52	31
mmu-mir-669l-3p	3	2	0	2	81	0
mmu-mir-3076-3p	44	25	18	80	63	16
mmu-mir-187-5p	79	16	30	73	28	29
mmu-mir-150-5p	31	26	5	78	40	17
mmu-mir-344-1-5p	34	15	9	75	26	13
mmu-mir-431-5p	75	27	55	18	50	24
mmu-mir-703-3p	61	75	19	39	66	32
mmu-mir-205-5p	21	12	1	34	74	10
mmu-mir-3967-3p	66	29	20	33	73	62
mmu-mir-1935-5p	69	19	11	63	73	37
mmu-mir-101b-5p	25	22	6	67	72	30
mmu-mir-26a-1-3p	50	33	10	72	54	19
mmu-mir-1946b-5p	58	42	22	64	72	34
mmu-mir-329-3p	69	52	71	29	31	20
mmu-mir-375-3p	19	1	2	6	70	1
mmu-mir-669i-3p	3	2	1	0	70	0
mmu-mir-3097-3p	50	24	15	69	58	44
mmu-mir-193a-5p	24	10	8	68	40	23
mmu-mir-466k-5p	12	8	4	27	68	7
mmu-mir-5114-5p	35	30	14	26	44	67
mmu-mir-124-2-5p	67	53	29	30	25	33
mmu-mir-493-5p	66	15	51	19	14	6
mmu-mir-3470b-3p	45	30	15	66	44	36
mmu-mir-3473a-3p	66	30	10	63	29	22
mmu-mir-702-5p	25	17	5	65	49	14
mmu-mir-485-3p	65	37	53	20	27	15
mmu-mir-1a-1-3p	64	15	24	56	36	23
mmu-mir-147-5p	31	4	6	36	64	18
mmu-mir-1957b-5p	61	37	25	59	17	55
mmu-mir-376c-3p	61	12	56	23	21	4
mmu-mir-673-3p	58	18	60	12	22	17
mmu-mir-1971-5p	24	18	8	60	29	25
mmu-let-7a-1-3p	28	8	6	60	30	17
mmu-mir-666-5p	60	27	59	37	38	26
mmu-mir-1930-3p	21	23	6	59	45	27
mmu-mir-3103-3p	37	22	5	59	42	22
mmu-mir-380-3p	58	30	53	17	24	6
mmu-mir-363-5p	24	8	18	34	58	4
mmu-mir-6237-3p	42	39	15	39	58	36
mmu-mir-1198-3p	33	8	11	56	34	20
mmu-mir-18b-5p	25	9	8	21	56	5
mmu-mir-669c-3p	0	1	0	5	54	1
mmu-mir-1231-5p	13	7	6	54	24	13
mmu-mir-466o-3p	0	1	2	12	54	0
mmu-mir-412-5p	54	20	45	19	21	14
mmu-mir-3087-3p	24	15	13	52	30	17
mmu-mir-1187-3p	37	21	10	33	52	13
mmu-mir-3059-5p	52	20	2	30	27	9
mmu-mir-1933-5p	22	19	8	51	26	25
mmu-mir-5709-5p	48	9	3	51	37	25
mmu-mir-135b-3p	51	5	0	13	15	10
mmu-mir-1954-3p	48	17	13	50	49	15
mmu-mir-344i-5p	45	13	7	50	25	12
mmu-mir-1954-5p	49	22	7	26	38	15
mmu-mir-194-1-5p	49	18	17	37	37	14
mmu-mir-1938-3p	24	18	6	49	27	26
mmu-mir-1950-5p	15	9	8	49	30	18
mmu-mir-138-2-3p	48	5	6	30	21	16
mmu-mir-28c-3p	40	30	27	48	47	32
mmu-mir-701-5p	44	22	23	48	39	14
mmu-mir-1193-3p	48	9	45	18	26	8
mmu-mir-129-2-5p	26	7	15	48	24	13
mmu-mir-3572-3p	26	29	10	47	23	23
mmu-mir-3058-3p	17	2	3	46	10	11
mmu-mir-3075-5p	17	7	3	46	24	15
mmu-mir-5130-5p	11	5	8	45	12	9
mmu-mir-370-5p	39	21	45	17	22	5
mmu-mir-326-5p	19	7	8	31	45	18
mmu-mir-466l-5p	34	15	6	16	44	6
mmu-mir-6390-5p	12	8	3	43	18	9
mmu-mir-186-3p	36	43	16	41	36	21
mmu-mir-29b-2-3p	23	5	3	43	23	10
mmu-mir-196a-1-5p	15	1	42	16	3	5
mmu-mir-551b-3p	25	42	7	32	20	14
mmu-mir-669p-1-3p	1	0	0	5	42	0
mmu-mir-5621-5p	35	13	3	42	17	8
mmu-mir-1936-3p	25	15	13	37	33	41
mmu-mir-3067-3p	41	13	10	26	17	11
mmu-mir-1938-5p	15	13	13	40	39	20
mmu-mir-1955-3p	13	10	8	40	14	12
mmu-mir-29a-5p	24	40	8	27	25	21
mmu-mir-346-3p	39	14	10	36	30	7
mmu-mir-3096a-3p	11	6	5	39	14	9
mmu-mir-1186a-5p	19	13	3	38	24	9
mmu-mir-1b-3p	19	16	6	38	34	10
mmu-mir-487b-3p	37	14	38	9	17	10
mmu-mir-466i-3p	34	9	13	22	38	10
mmu-mir-3084-2-3p	38	25	14	30	36	22
mmu-mir-466b-3-3p	0	3	0	9	38	2
mmu-mir-302d-3p	3	0	0	0	37	0
mmu-mir-199a-2-3p	9	5	3	11	37	17
mmu-mir-3082-5p	24	26	8	37	31	23
mmu-mir-3094-3p	17	8	4	36	24	4
mmu-mir-6369-3p	36	31	8	18	16	6
mmu-mir-1932-3p	18	8	3	35	17	13
mmu-mir-1927-3p	32	18	6	35	28	21
mmu-mir-692-3-3p	30	35	13	14	32	26
mmu-mir-466a-5p	0	1	1	2	35	0
mmu-mir-802-5p	8	2	1	35	9	2
mmu-mir-30c-2-5p	10	5	1	35	10	3
mmu-mir-684-1-5p	34	19	10	7	10	2
mmu-mir-5123-3p	22	11	2	21	34	28
mmu-mir-3470a-3p	20	16	3	34	28	20
mmu-mir-202-5p	31	34	4	1	3	2
mmu-mir-103-2-5p	17	15	2	33	29	13
mmu-mir-701-3p	7	8	2	32	11	6
mmu-mir-693-3p	22	7	6	27	32	28
mmu-mir-450a-2-3p	10	8	0	15	32	6
mmu-mir-873a-5p	32	14	7	27	25	2
mmu-mir-1895-3p	32	24	7	16	12	18
mmu-mir-879-3p	24	15	7	32	27	7
mmu-mir-302a-3p	10	0	0	0	32	0
mmu-mir-3109-3p	22	15	6	31	26	8
mmu-mir-673-5p	31	13	16	7	6	0
mmu-mir-1943-3p	11	10	5	31	16	15
mmu-mir-192-3p	14	17	12	31	11	12
mmu-mir-449a-5p	19	12	7	31	14	7
mmu-mir-667-5p	30	2	22	11	15	10
mmu-mir-466q-3p	8	7	1	18	30	2
mmu-mir-3077-3p	11	13	8	30	16	4
mmu-mir-3473c-3p	16	10	7	30	14	11
mmu-mir-496a-3p	26	29	20	15	7	3
mmu-mir-3471-1-3p	4	13	5	6	29	8
mmu-mir-682-5p	26	12	7	16	22	29
mmu-mir-6537-3p	28	6	4	14	8	25
mmu-mir-3060-5p	28	15	8	12	19	13
mmu-mir-211-5p	9	3	1	16	14	28
mmu-mir-1249-5p	5	7	8	27	13	18
mmu-mir-101c-5p	7	11	7	25	27	26
mmu-mir-144-5p	27	8	3	14	13	7
mmu-mir-3098-5p	8	15	8	10	27	26
mmu-mir-1961-5p	21	15	8	27	17	20
mmu-mir-154-5p	27	9	16	5	2	4
mmu-mir-190a-3p	7	20	4	27	8	12
mmu-mir-465a-3p	10	8	1	22	27	5
mmu-mir-598-5p	8	8	1	26	7	7
mmu-mir-467g-5p	20	13	8	26	23	11
mmu-mir-3092-3p	3	9	3	26	11	9
mmu-mir-467b-3p	0	0	1	0	26	0
mmu-mir-1251-3p	25	17	8	6	7	13
mmu-mir-3112-3p	8	1	4	25	6	3
mmu-mir-1191-5p	13	8	8	25	12	8
mmu-mir-299a-5p	17	25	12	11	8	2
mmu-mir-1907-3p	2	4	1	25	3	3
mmu-mir-6353-5p	14	12	5	25	24	6
mmu-mir-467f-3p	18	15	6	15	25	16
mmu-mir-5112-5p	18	19	5	24	17	15
mmu-mir-493-3p	24	7	7	2	6	2
mmu-mir-466f-4-5p	20	11	6	22	24	11
mmu-mir-883a-3p	6	0	0	5	24	2
mmu-mir-297a-1-5p	2	2	1	9	23	3
mmu-mir-668-3p	23	7	20	9	6	3
mmu-mir-344d-3-5p	6	1	2	23	6	6
mmu-mir-758-3p	23	19	23	11	21	5
mmu-mir-1224-5p	23	16	5	14	16	10
mmu-mir-743b-3p	10	0	1	10	23	1
mmu-mir-5133-5p	13	11	9	23	6	15
mmu-mir-5134-3p	7	0	1	22	11	4
mmu-mir-667-3p	22	14	22	9	1	4
mmu-mir-1192-3p	13	10	1	22	12	5
mmu-mir-5098-5p	21	16	12	22	22	4
mmu-mir-466k-3p	0	5	2	9	22	3
mmu-mir-665-3p	16	3	22	8	11	0
mmu-mir-665-5p	22	7	3	1	16	8
mmu-mir-551b-5p	4	2	5	21	4	2
mmu-mir-1958-3p	13	12	3	10	21	10
mmu-mir-3472-3p	14	7	1	21	8	4
mmu-mir-450a-1-5p	5	2	2	14	21	1
mmu-mir-1186b-5p	14	5	3	21	4	4
mmu-mir-873a-3p	7	9	1	21	7	2
mmu-mir-1231-3p	5	0	6	21	13	6
mmu-mir-466f-4-3p	8	5	2	11	21	5
mmu-mir-669k-3p	0	2	0	0	21	0
mmu-mir-196a-2-3p	10	0	20	4	2	0
mmu-mir-6392-5p	4	5	3	20	1	8
mmu-mir-344h-2-3p	16	7	3	20	13	15
mmu-mir-190b-3p	10	5	7	20	5	4
mmu-mir-3058-5p	15	5	1	20	19	5
mmu-mir-3960-3p	11	16	5	20	8	12
mmu-mir-141-3p	4	1	1	1	20	0
mmu-mir-3471-1-5p	20	3	2	17	11	7
mmu-mir-5123-5p	14	9	1	15	20	17
mmu-mir-763-5p	4	6	0	19	2	2
mmu-mir-6351-5p	5	14	0	1	19	5
mmu-mir-5616-3p	8	11	0	19	7	13
mmu-mir-6380-3p	9	4	4	19	10	10
mmu-mir-5101-3p	13	2	7	19	11	7
mmu-mir-5626-3p	6	3	0	19	8	0
mmu-mir-3064-3p	18	6	6	15	5	2
mmu-mir-5136-5p	5	4	3	18	5	4
mmu-mir-1956-3p	10	0	1	2	18	2
mmu-mir-5131-5p	10	6	2	18	6	8
mmu-mir-6418-3p	6	18	2	18	10	11
mmu-mir-760-5p	14	13	1	18	7	5
mmu-mir-3094-5p	4	5	2	18	13	6
mmu-mir-6395-5p	7	2	4	18	8	8
mmu-mir-3472-5p	17	6	6	18	18	11
mmu-mir-376b-3p	18	10	9	4	16	4
mmu-mir-491-3p	11	3	3	10	17	7
mmu-mir-224-3p	2	1	3	17	6	1
mmu-mir-3113-3p	5	9	3	17	5	2
mmu-mir-1194-5p	14	6	4	12	17	3
mmu-mir-3100-5p	10	3	2	17	7	4
mmu-mir-5132-3p	2	0	1	17	5	5
mmu-mir-3112-5p	9	3	2	17	15	0
mmu-mir-6364-3p	6	9	2	17	4	6
mmu-mir-465a-5p	1	0	0	3	17	2
mmu-mir-433-5p	16	1	9	2	3	0
mmu-mir-3081-5p	7	4	5	16	4	3
mmu-mir-1953-3p	7	2	1	16	2	2
mmu-mir-1188-3p	8	13	6	16	16	9
mmu-mir-344g-5p	2	3	0	16	10	1
mmu-mir-3076-5p	4	2	2	16	6	8
mmu-mir-5125-3p	4	0	2	15	11	0
mmu-mir-1893-3p	3	3	5	15	7	8
mmu-mir-466i-5p	13	10	6	15	9	9
mmu-mir-421-5p	3	5	0	13	15	9
mmu-mir-1982-5p	2	2	3	15	9	1
mmu-mir-376b-5p	15	4	10	5	6	2
mmu-mir-1197-3p	14	0	5	3	9	1
mmu-mir-3108-3p	14	7	5	13	12	13
mmu-mir-29b-1-5p	8	1	2	14	8	3
mmu-mir-6353-3p	5	5	1	14	4	4
mmu-mir-193a-3p	3	11	2	9	14	7
mmu-mir-138-1-3p	14	4	5	2	7	0
mmu-mir-682-3p	14	7	1	12	8	5
mmu-mir-294-5p	7	0	0	0	14	0
mmu-mir-1298-3p	2	1	0	5	14	4
mmu-mir-6363-3p	14	5	3	2	6	5
mmu-mir-1193-5p	13	3	9	3	6	2
mmu-mir-376a-5p	13	8	8	5	2	1
mmu-mir-299b-3p	13	2	4	6	3	3
mmu-mir-466j-5p	2	2	1	13	6	7
mmu-mir-1960-3p	9	1	5	13	6	2
mmu-mir-452-3p	2	1	1	3	13	4
mmu-mir-1928-5p	13	7	1	7	5	0
mmu-mir-344e-3p	4	3	2	13	3	2
mmu-mir-6406-3p	0	3	0	13	3	4
mmu-mir-3057-3p	3	13	7	7	8	8
mmu-mir-5129-5p	13	3	3	9	4	0
mmu-mir-5620-3p	5	3	1	9	12	9
mmu-mir-5133-3p	3	1	3	12	8	2
mmu-mir-5136-3p	3	3	3	12	6	6
mmu-mir-874-5p	12	12	1	3	6	2
mmu-mir-1190-3p	7	0	2	9	12	0
mmu-mir-3097-5p	12	12	4	7	8	10
mmu-mir-5114-3p	12	12	5	2	2	3
mmu-mir-218-2-3p	9	2	1	7	12	12
mmu-mir-291b-5p	7	0	0	0	12	0
mmu-mir-669m-1-5p	0	0	1	0	12	0
mmu-mir-377-3p	12	8	9	1	1	3
mmu-mir-410-5p	5	0	3	11	4	5
mmu-mir-718-5p	2	0	3	11	2	3
mmu-mir-3104-3p	6	2	3	11	0	3
mmu-mir-669a-2-5p	0	0	0	0	11	0
mmu-mir-880-3p	6	1	1	6	11	4
mmu-mir-5615-1-3p	5	2	0	5	11	5
mmu-mir-295-5p	10	1	0	0	11	2
mmu-mir-19a-5p	2	1	0	11	5	0
mmu-mir-1190-5p	5	3	3	11	10	6
mmu-mir-5627-3p	1	4	0	11	3	1
mmu-mir-344-2-3p	11	3	4	5	7	8
mmu-mir-3471-2-5p	9	1	1	11	6	1
mmu-mir-23a-5p	0	0	1	11	4	2
mmu-mir-467f-5p	4	3	1	11	9	1
mmu-mir-383-3p	6	1	1	11	3	1
mmu-mir-150-3p	2	3	0	10	2	0
mmu-mir-468-3p	10	2	0	3	3	0
mmu-mir-3091-5p	0	1	2	10	0	2
mmu-mir-449c-5p	6	3	0	10	3	0
mmu-mir-3088-5p	10	1	0	0	2	3
mmu-mir-5618-5p	1	1	0	4	10	0
mmu-mir-3105-3p	10	10	5	5	4	1
mmu-mir-3101-3p	5	1	1	10	1	2
mmu-mir-1892-3p	10	0	3	3	2	0
mmu-mir-1192-5p	10	5	3	8	0	1
mmu-mir-541-3p	10	3	4	4	2	0
mmu-mir-719-5p	7	2	0	3	10	5
mmu-mir-200b-5p	0	0	0	0	10	0
mmu-mir-3072-3p	10	5	3	4	5	0
mmu-mir-376a-3p	4	2	10	1	0	0
mmu-mir-216b-3p	4	2	2	10	7	4
mmu-mir-201-5p	1	2	1	3	9	10
mmu-mir-3100-3p	5	0	2	9	1	4
mmu-mir-6344-5p	9	2	0	4	2	6
mmu-mir-449b-5p	3	1	4	9	5	2
mmu-mir-207-3p	4	5	0	9	3	0
mmu-mir-471-5p	2	0	1	9	5	3
mmu-mir-1927-5p	1	0	3	4	9	3
mmu-mir-5625-3p	9	6	1	6	6	3
mmu-mir-878-3p	4	1	1	6	9	0
mmu-mir-743a-3p	1	0	1	0	9	0
mmu-mir-692-3-5p	6	9	3	5	8	3
mmu-mir-5710-3p	4	0	1	1	3	9
mmu-mir-337-3p	8	9	7	3	8	3
mmu-mir-3063-3p	7	0	2	5	7	9
mmu-mir-688-3p	0	1	1	7	9	0
mmu-mir-1931-3p	4	2	6	9	6	1
mmu-mir-217-5p	9	1	1	3	1	0
mmu-mir-204-3p	0	0	0	9	1	9
mmu-mir-341-5p	5	0	9	7	4	1
mmu-mir-6371-5p	3	1	1	9	6	1
mmu-mir-3104-5p	2	2	0	9	0	1
mmu-mir-1249-3p	8	5	1	9	4	3
mmu-mir-3095-3p	7	1	6	3	6	9
mmu-mir-3090-5p	9	4	2	2	1	3
mmu-mir-669g-3p	5	3	0	0	9	0
mmu-mir-1912-5p	2	8	1	0	2	4
mmu-mir-669j-5p	0	1	0	1	8	0
mmu-mir-5122-3p	5	4	1	8	6	6
mmu-mir-3966-5p	7	6	0	6	8	1
mmu-mir-6355-3p	0	8	0	3	3	1
mmu-mir-5617-5p	7	4	2	8	6	1
mmu-mir-291b-3p	3	0	1	8	3	2
mmu-mir-1195-3p	8	2	1	4	8	3
mmu-mir-134-3p	8	1	5	8	8	2
mmu-mir-5118-3p	4	3	2	8	3	3
mmu-mir-6340-3p	8	8	2	1	2	3
mmu-mir-448-3p	3	1	0	8	7	6
mmu-mir-137-3p	8	1	0	0	0	0
mmu-mir-3083-3p	8	6	1	8	6	5
mmu-mir-539-5p	8	3	5	2	3	3
mmu-mir-5616-5p	3	4	0	3	8	8
mmu-mir-6378-3p	5	1	0	2	8	2
mmu-mir-344d-3-3p	2	0	0	7	8	4
mmu-mir-3085-5p	8	2	1	0	1	0
mmu-mir-6358-3p	4	1	1	8	4	0
mmu-mir-5624-5p	3	1	0	7	3	4
mmu-mir-412-3p	7	4	6	2	2	4
mmu-mir-154-3p	7	0	3	1	4	0
mmu-mir-5623-3p	7	2	3	7	4	0
mmu-mir-6341-3p	3	1	1	7	3	2
mmu-mir-2139-5p	0	3	0	2	7	3
mmu-mir-654-5p	7	3	1	0	3	0
mmu-mir-504-3p	2	4	0	7	2	1
mmu-mir-5622-5p	6	2	0	7	1	1
mmu-mir-1965-5p	5	5	1	7	5	3
mmu-mir-669g-5p	0	3	0	0	7	0
mmu-mir-719-3p	4	5	0	1	7	2
mmu-mir-6406-5p	7	2	1	3	1	2
mmu-mir-710-3p	7	4	2	0	1	1
mmu-mir-680-3-5p	7	1	0	0	2	0
mmu-mir-5622-3p	7	0	1	4	2	3
mmu-mir-5124a-3p	5	3	3	7	6	1
mmu-mir-1188-5p	1	2	1	7	3	3
mmu-mir-215-3p	2	2	4	4	5	7
mmu-mir-6362-3p	2	5	0	7	7	4
mmu-mir-5110-5p	2	1	1	7	3	0
mmu-mir-467h-5p	3	2	1	7	5	1
mmu-mir-5626-5p	1	3	0	0	5	7
mmu-mir-18b-3p	7	0	1	6	2	1
mmu-mir-1928-3p	7	1	0	1	1	0
mmu-mir-876-5p	1	0	0	7	0	0
mmu-mir-5128-5p	1	2	1	7	3	4
mmu-mir-6388-3p	1	0	2	7	7	2
mmu-mir-6349-3p	7	1	0	0	2	1
mmu-mir-3964-3p	1	0	0	1	7	1
mmu-mir-1247-5p	3	2	1	4	7	1
mmu-mir-1941-3p	1	2	0	7	0	2
mmu-mir-6359-3p	0	3	0	6	1	0
mmu-mir-6389-3p	2	6	0	2	0	4
mmu-mir-5134-5p	0	3	1	6	5	0
mmu-mir-1903-3p	5	2	0	5	6	3
mmu-mir-184-5p	1	0	0	6	1	1
mmu-mir-1971-3p	3	3	1	6	1	5
mmu-mir-1967-3p	1	0	0	6	1	0
mmu-mir-1941-5p	2	3	0	6	0	0
mmu-mir-5104-5p	0	0	0	3	6	2
mmu-mir-451a-5p	0	2	2	2	0	6
mmu-mir-26a-1-5p	3	3	1	6	0	4
mmu-mir-3073a-3p	2	0	1	1	4	6
mmu-mir-1949-5p	6	1	1	2	2	0
mmu-mir-6414-3p	4	0	2	3	6	2
mmu-mir-679-3p	6	2	3	0	1	1
mmu-mir-698-5p	6	0	2	4	0	1
mmu-mir-3473a-5p	1	6	4	3	3	2
mmu-mir-6385-5p	3	2	0	2	6	0
mmu-mir-3108-5p	0	3	0	6	0	2
mmu-mir-6361-3p	5	1	0	6	0	0
mmu-mir-669k-5p	0	0	0	0	6	0
mmu-mir-92a-2-5p	6	1	0	6	2	0
mmu-mir-101a-5p	6	2	0	3	3	2
